"Label","ID","Link cost","Link displacement","Link target IDs","Link target IDs","Link velocity","AP","AP","Somite","Somite","Somite","Somite"
"",""," "," ","Source spot id","Target spot id"," ","Anterior","Posterior","1","2","0","3"
"","","","(micron)","","","(micron/frame)","","","","","",""
"1 ? 0","0","","0.3039506202218014","0.0","1.0","0.3039506202218014","1","0","1","0","0","0"
"2 ? 1","1","","0.7320100281366634","1.0","2.0","0.7320100281366634","1","0","1","0","0","0"
"3 ? 2","2","","1.3335012032464806","2.0","3.0","1.3335012032464806","1","0","1","0","0","0"
"4 ? 3","3","","1.848859443745946","3.0","4.0","1.848859443745946","1","0","1","0","0","0"
"5 ? 4","4","","1.3836344067127464","4.0","5.0","1.3836344067127464","1","0","1","0","0","0"
"6 ? 5","5","","2.314543657180997","5.0","6.0","2.314543657180997","1","0","1","0","0","0"
"7 ? 6","6","","1.7489264689021402","6.0","7.0","1.7489264689021402","1","0","1","0","0","0"
"8 ? 7","7","","1.118860742211168","7.0","8.0","1.118860742211168","1","0","1","0","0","0"
"9 ? 8","8","","0.2208524793225056","8.0","9.0","0.2208524793225056","1","0","1","0","0","0"
"10 ? 9","9","","0.8155850983429571","9.0","10.0","0.8155850983429571","1","0","1","0","0","0"
"11 ? 10","10","1.5653782059355177","1.2511507526815135","10.0","11.0","1.2511507526815135","1","0","1","0","0","0"
"12 ? 11","11","","0.7182124774862128","11.0","12.0","0.7182124774862128","1","0","1","0","0","0"
"13 ? 12","12","","2.3108244453050064","12.0","13.0","2.3108244453050064","1","0","1","0","0","0"
"14 ? 13","13","1.404270677011162","1.1850192728437634","13.0","14.0","1.1850192728437634","1","0","1","0","0","0"
"15 ? 14","14","","1.0402518853550784","14.0","15.0","1.0402518853550784","1","0","1","0","0","0"
"16 ? 15","15","","1.5498501436794767","15.0","16.0","1.5498501436794767","1","0","1","0","0","0"
"17 ? 16","16","","1.469290587250459","16.0","17.0","1.469290587250459","1","0","1","0","0","0"
"18 ? 17","17","","0.2718616994476427","17.0","18.0","0.2718616994476427","1","0","1","0","0","0"
"19 ? 18","18","","2.1145877634676262","18.0","19.0","2.1145877634676262","1","0","1","0","0","0"
"20 ? 19","19","","1.907880392898925","19.0","20.0","1.907880392898925","1","0","1","0","0","0"
"21 ? 20","20","7.998459973821289","2.828154870904578","20.0","21.0","2.828154870904578","1","0","1","0","0","0"
"22 ? 21","21","","0.7926062457649599","21.0","22.0","0.7926062457649599","1","0","1","0","0","0"
"23 ? 22","22","6.528504959457311","2.55509392380345","22.0","23.0","2.55509392380345","1","0","1","0","0","0"
"24 ? 23","23","","1.174197979710482","23.0","24.0","1.174197979710482","1","0","1","0","0","0"
