"Label","ID","Link cost","Link displacement","Link target IDs","Link target IDs","Link velocity","AP","AP","Somite","Somite","Somite","Somite","Somite","Somite"
"",""," "," ","Source spot id","Target spot id"," ","Anterior","Posterior","1","0","2","3","4","5"
"","","","(micron)","","","(micron/frame)","","","","","","","",""
"5 ? 4","0","","0.8356850345642918","4.0","5.0","0.8356850345642918","1","0","1","0","0","0","0","0"
"6 ? 5","1","","1.94739545435386","5.0","6.0","1.94739545435386","1","0","1","0","0","0","0","0"
"7 ? 6","2","","1.2034084606688584","6.0","7.0","1.2034084606688584","1","0","1","0","0","0","0","0"
"8 ? 7","3","","0.9324155386237326","7.0","8.0","0.9324155386237326","1","0","1","0","0","0","0","0"
"9 ? 8","4","","0.4922310953223867","8.0","9.0","0.4922310953223867","1","0","1","0","0","0","0","0"
"10 ? 9","5","","1.2019611265018622","9.0","10.0","1.2019611265018622","1","0","1","0","0","0","0","0"
"11 ? 10","6","","0.29198389392205387","10.0","11.0","0.29198389392205387","1","0","1","0","0","0","0","0"
"12 ? 11","7","","0.9129971388211481","11.0","12.0","0.9129971388211481","1","0","1","0","0","0","0","0"
"13 ? 12","8","","1.1151860295135176","12.0","13.0","1.1151860295135176","1","0","1","0","0","0","0","0"
"14 ? 13","9","","1.4187866996079352","13.0","14.0","1.4187866996079352","1","0","1","0","0","0","0","0"
"15 ? 14","10","","4.538021837684011","14.0","15.0","4.538021837684011","1","0","1","0","0","0","0","0"
"16 ? 15","11","","2.305164924177218","15.0","16.0","2.305164924177218","1","0","1","0","0","0","0","0"
"17 ? 16","12","","0.7197416121428847","16.0","17.0","0.7197416121428847","1","0","1","0","0","0","0","0"
"18 ? 17","13","","4.207347441237176","17.0","18.0","4.207347441237176","1","0","1","0","0","0","0","0"
"19 ? 18","14","","3.394009889326139","18.0","19.0","3.394009889326139","1","0","1","0","0","0","0","0"
"20 ? 19","15","","2.5748811772851083","19.0","20.0","2.5748811772851083","1","0","1","0","0","0","0","0"
"21 ? 20","16","","1.8658583072787702","20.0","21.0","1.8658583072787702","1","0","1","0","0","0","0","0"
"22 ? 21","17","","1.0254064790070088","21.0","22.0","1.0254064790070088","1","0","1","0","0","0","0","0"
"24 ? 23","18","","2.328658193170753","23.0","24.0","2.328658193170753","1","0","1","0","0","0","0","0"
"25 ? 24","19","","2.066670510376306","24.0","25.0","2.066670510376306","1","0","1","0","0","0","0","0"
"26 ? 25","20","","1.4308779011401946","25.0","26.0","1.4308779011401946","1","0","1","0","0","0","0","0"
"27 ? 26","21","","3.7944821133101807","26.0","27.0","3.7944821133101807","1","0","1","0","0","0","0","0"
"28 ? 27","22","","1.3426783818835628","27.0","28.0","1.3426783818835628","1","0","1","0","0","0","0","0"
"29 ? 28","23","","3.028135607047181","28.0","29.0","3.028135607047181","1","0","1","0","0","0","0","0"
"30 ? 29","24","","2.051343405794414","29.0","30.0","2.051343405794414","1","0","1","0","0","0","0","0"
"31 ? 30","25","","4.329915096969467","30.0","31.0","4.329915096969467","1","0","1","0","0","0","0","0"
"32 ? 31","26","","2.9620555291815434","31.0","32.0","2.9620555291815434","1","0","1","0","0","0","0","0"
"33 ? 32","27","","2.8435871092772973","32.0","33.0","2.8435871092772973","1","0","1","0","0","0","0","0"
"34 ? 33","28","","0.9297057573481082","33.0","34.0","0.9297057573481082","1","0","1","0","0","0","0","0"
"35 ? 34","29","","1.597953191508163","34.0","35.0","1.597953191508163","1","0","1","0","0","0","0","0"
"36 ? 35","30","","1.4963385253578108","35.0","36.0","1.4963385253578108","1","0","1","0","0","0","0","0"
"37 ? 36","31","","0.0","36.0","37.0","0.0","1","0","1","0","0","0","0","0"
"38 ? 37","32","","0.7383814378562803","37.0","38.0","0.7383814378562803","1","0","1","0","0","0","0","0"
"39 ? 38","33","","1.0378422617286014","38.0","39.0","1.0378422617286014","1","0","1","0","0","0","0","0"
"40 ? 39","34","","1.7157684420860193","39.0","40.0","1.7157684420860193","1","0","1","0","0","0","0","0"
"41 ? 40","35","","0.4892435340469082","40.0","41.0","0.4892435340469082","1","0","1","0","0","0","0","0"
"42 ? 41","36","","1.1795798372143742","41.0","42.0","1.1795798372143742","1","0","1","0","0","0","0","0"
"43 ? 42","37","","0.9953297346634844","42.0","43.0","0.9953297346634844","1","0","1","0","0","0","0","0"
"44 ? 43","38","","1.0600276571015554","43.0","44.0","1.0600276571015554","1","0","1","0","0","0","0","0"
"45 ? 44","39","","1.0686939893261984","44.0","45.0","1.0686939893261984","1","0","1","0","0","0","0","0"
"46 ? 45","40","","1.6534611758440645","45.0","46.0","1.6534611758440645","1","0","1","0","0","0","0","0"
"47 ? 46","41","","1.2967978481321927","46.0","47.0","1.2967978481321927","1","0","1","0","0","0","0","0"
"48 ? 47","42","","0.9580871120374306","47.0","48.0","0.9580871120374306","1","0","1","0","0","0","0","0"
"49 ? 48","43","","2.4843974985848396","48.0","49.0","2.4843974985848396","1","0","1","0","0","0","0","0"
"50 ? 49","44","","0.3646605998936497","49.0","50.0","0.3646605998936497","1","0","1","0","0","0","0","0"
"51 ? 50","45","","0.8502656977254304","50.0","51.0","0.8502656977254304","1","0","1","0","0","0","0","0"
"52 ? 51","46","","1.5140738572695136","51.0","52.0","1.5140738572695136","1","0","1","0","0","0","0","0"
"53 ? 52","47","","0.8667883508093257","52.0","53.0","0.8667883508093257","1","0","1","0","0","0","0","0"
"54 ? 53","48","","1.2231088351171033","53.0","54.0","1.2231088351171033","1","0","1","0","0","0","0","0"
"55 ? 54","49","","2.063808459403693","54.0","55.0","2.063808459403693","1","0","1","0","0","0","0","0"
"56 ? 55","50","","2.297651174277304","55.0","56.0","2.297651174277304","1","0","1","0","0","0","0","0"
"57 ? 56","51","","0.9297057573481551","56.0","57.0","0.9297057573481551","1","0","1","0","0","0","0","0"
"58 ? 57","52","","0.6724009225085666","57.0","58.0","0.6724009225085666","1","0","1","0","0","0","0","0"
"59 ? 58","53","","2.2475718348468527","58.0","59.0","2.2475718348468527","1","0","1","0","0","0","0","0"
"60 ? 59","54","","0.7601557042917584","59.0","60.0","0.7601557042917584","1","0","1","0","0","0","0","0"
"61 ? 60","55","","2.937475073939987","60.0","61.0","2.937475073939987","1","0","1","0","0","0","0","0"
"62 ? 61","56","","1.7142927124144143","61.0","62.0","1.7142927124144143","1","0","1","0","0","0","0","0"
"63 ? 62","57","","1.5684645461800408","62.0","63.0","1.5684645461800408","1","0","1","0","0","0","0","0"
"64 ? 63","58","","0.18233029994683284","63.0","64.0","0.18233029994683284","1","0","1","0","0","0","0","0"
"65 ? 64","59","","0.7383814378562482","64.0","65.0","0.7383814378562482","1","0","1","0","0","0","0","0"
"66 ? 65","60","","1.1070253231946834","65.0","66.0","1.1070253231946834","1","0","1","0","0","0","0","0"
"67 ? 66","61","","2.4799601975756933","66.0","67.0","2.4799601975756933","1","0","1","0","0","0","0","0"
"68 ? 67","62","","5.527427101238719","67.0","68.0","5.527427101238719","1","0","1","0","0","0","0","0"
"68 ? 69","63","","4.606997456211155","69.0","68.0","4.606997456211155","0","0","0","0","0","0","0","0"
"70 ? 68","64","","1.0314159320653602","68.0","70.0","1.0314159320653602","1","0","1","0","0","0","0","0"
"71 ? 70","65","","2.038514725195152","70.0","71.0","2.038514725195152","1","0","1","0","0","0","0","0"
"72 ? 71","66","","1.9774095236315852","71.0","72.0","1.9774095236315852","1","0","1","0","0","0","0","0"
"73 ? 72","67","","1.830056711631957","72.0","73.0","1.830056711631957","1","0","1","0","0","0","0","0"
"74 ? 73","68","","2.506867205554314","73.0","74.0","2.506867205554314","1","0","1","0","0","0","0","0"
"75 ? 74","69","","1.0970869389424929","74.0","75.0","1.0970869389424929","1","0","1","0","0","0","0","0"
"76 ? 75","70","","2.846697296790195","75.0","76.0","2.846697296790195","1","0","1","0","0","0","0","0"
"77 ? 76","71","","0.08154058900783226","76.0","77.0","0.08154058900783226","1","0","1","0","0","0","0","0"
"78 ? 77","72","","0.8194727776013083","77.0","78.0","0.8194727776013083","1","0","1","0","0","0","0","0"
