"Label","ID","Link displacement","Link target IDs","Link target IDs","Link velocity","AP","AP","Position","Position","Somite","Somite","Somite","Somite","Somite","Somite","Somite","Somite","Somite","Verified"
"",""," ","Source spot id","Target spot id"," ","Anterior","Posterior","Left","Right","1","2","0","3","4","6","7","8","5","Check"
"","","(micron)","","","(micron/frame)","","","","","","","","","","","","","",""
"1 ? 0","0","1.2280076632033377","1.0","0.0","1.2280076632033377","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"2 ? 1","1","2.1285991810077713","2.0","1.0","2.1285991810077713","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"3 ? 2","2","1.2824600385578102","3.0","2.0","1.2824600385578102","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"4 ? 3","3","1.214659676372615","4.0","3.0","1.214659676372615","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"5 ? 4","4","0.7378520471577477","5.0","4.0","0.7378520471577477","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1960 ? 1959","5","2.121477711867115","1960.0","1959.0","1.0607388559335575","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"7 ? 6","6","1.2016235535005797","7.0","6.0","1.2016235535005797","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"8 ? 7","7","1.0327807809997185","8.0","7.0","1.0327807809997185","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"9 ? 8","8","0.3032348784646035","9.0","8.0","0.3032348784646035","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"10 ? 9","9","0.575347729171493","10.0","9.0","0.575347729171493","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"11 ? 10","10","0.42883887770923274","11.0","10.0","0.42883887770923274","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"12 ? 11","11","2.840036788154849","12.0","11.0","2.840036788154849","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"13 ? 12","12","1.6507413514773208","13.0","12.0","1.6507413514773208","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"14 ? 13","13","3.3575646829271095","14.0","13.0","3.3575646829271095","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"15 ? 14","14","1.8880923040976176","15.0","14.0","1.8880923040976176","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"16 ? 15","15","0.41211210200253695","16.0","15.0","0.41211210200253695","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"17 ? 16","16","1.2715171678859327","17.0","16.0","1.2715171678859327","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"18 ? 17","17","1.5923969447730157","18.0","17.0","1.5923969447730157","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"19 ? 18","18","0.7302862937240353","19.0","18.0","0.7302862937240353","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"20 ? 19","19","2.54694322991642","20.0","19.0","2.54694322991642","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"21 ? 20","20","1.1554968415231492","21.0","20.0","1.1554968415231492","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"22 ? 21","21","2.459338182044193","22.0","21.0","2.459338182044193","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"23 ? 22","22","0.6914819129165932","23.0","22.0","0.6914819129165932","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"24 ? 23","23","0.7148117501152008","24.0","23.0","0.7148117501152008","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
