"Label","ID","Link cost","Link displacement","Link target IDs","Link target IDs","Link velocity","AP","AP","Somite","Somite","Somite","Somite","Somite","Somite","Somite","Somite"
"",""," "," ","Source spot id","Target spot id"," ","Anterior","Posterior","1","2","0","3","5","4","6","7"
"","","","(micron)","","","(micron/frame)","","","","","","","","","",""
"1 ? 0","0","","1.4289916133533225","1.0","0.0","1.4289916133533225","1","0","1","0","0","0","0","0","0","0"
"2 ? 1","1","","0.8169981080671344","2.0","1.0","0.8169981080671344","1","0","1","0","0","0","0","0","0","0"
"3 ? 2","2","","2.0989662525713846","3.0","2.0","2.0989662525713846","1","0","1","0","0","0","0","0","0","0"
"4 ? 3","3","","1.5129698098858595","4.0","3.0","1.5129698098858595","1","0","1","0","0","0","0","0","0","0"
"5 ? 4","4","","1.707382470186546","5.0","4.0","1.707382470186546","1","0","1","0","0","0","0","0","0","0"
"6 ? 5","5","","2.8685840270907206","6.0","5.0","2.8685840270907206","1","0","1","0","0","0","0","0","0","0"
"7 ? 6","6","","1.6757743920462862","7.0","6.0","1.6757743920462862","1","0","1","0","0","0","0","0","0","0"
"8 ? 7","7","","1.013784223178957","8.0","7.0","1.013784223178957","1","0","1","0","0","0","0","0","0","0"
"9 ? 8","8","","2.444789965345031","9.0","8.0","2.444789965345031","1","0","1","0","0","0","0","0","0","0"
"10 ? 9","9","","0.9894995961006484","10.0","9.0","0.9894995961006484","1","0","1","0","0","0","0","0","0","0"
"11 ? 10","10","","0.9628168201849903","11.0","10.0","0.9628168201849903","1","0","1","0","0","0","0","0","0","0"
"12 ? 11","11","","0.9977700187999557","12.0","11.0","0.9977700187999557","1","0","1","0","0","0","0","0","0","0"
"13 ? 12","12","","1.4091258540024518","13.0","12.0","1.4091258540024518","1","0","1","0","0","0","0","0","0","0"
"14 ? 13","13","","3.0452676365334455","14.0","13.0","3.0452676365334455","1","0","1","0","0","0","0","0","0","0"
"15 ? 14","14","","1.0041589498452577","15.0","14.0","1.0041589498452577","1","0","1","0","0","0","0","0","0","0"
"16 ? 15","15","","3.3482209110282537","16.0","15.0","3.3482209110282537","1","0","1","0","0","0","0","0","0","0"
"17 ? 16","16","","1.589125272445228","17.0","16.0","1.589125272445228","1","0","1","0","0","0","0","0","0","0"
"18 ? 17","17","","1.7057106200070995","18.0","17.0","1.7057106200070995","1","0","1","0","0","0","0","0","0","0"
"19 ? 18","18","","1.5483802189639972","19.0","18.0","1.5483802189639972","1","0","1","0","0","0","0","0","0","0"
"20 ? 19","19","","1.1078200808974152","20.0","19.0","1.1078200808974152","1","0","1","0","0","0","0","0","0","0"
"21 ? 20","20","","3.3510274929324364","21.0","20.0","3.3510274929324364","1","0","1","0","0","0","0","0","0","0"
"22 ? 21","21","","2.601910505767526","22.0","21.0","2.601910505767526","1","0","1","0","0","0","0","0","0","0"
"23 ? 22","22","","7.8167770289088345","23.0","22.0","7.8167770289088345","1","0","1","0","0","0","0","0","0","0"
"24 ? 23","23","","0.8397875295751029","24.0","23.0","0.8397875295751029","1","0","1","0","0","0","0","0","0","0"
"25 ? 24","24","","6.797076298161936","25.0","24.0","6.797076298161936","1","0","1","0","0","0","0","0","0","0"
"26 ? 25","25","","2.4684098143111437","26.0","25.0","2.4684098143111437","1","0","1","0","0","0","0","0","0","0"
"27 ? 26","26","","5.8687620461851395","27.0","26.0","5.8687620461851395","1","0","1","0","0","0","0","0","0","0"
"28 ? 27","27","","1.442863854448304","28.0","27.0","1.442863854448304","1","0","1","0","0","0","0","0","0","0"
"29 ? 28","28","","3.290128612916642","29.0","28.0","3.290128612916642","1","0","1","0","0","0","0","0","0","0"
"30 ? 29","29","","4.93028810701023","30.0","29.0","4.93028810701023","1","0","1","0","0","0","0","0","0","0"
"31 ? 30","30","","2.230812078832385","31.0","30.0","2.230812078832385","1","0","1","0","0","0","0","0","0","0"
"32 ? 31","31","","2.0400304576398844","32.0","31.0","2.0400304576398844","1","0","1","0","0","0","0","0","0","0"
"33 ? 32","32","","3.7709083566582033","33.0","32.0","3.7709083566582033","1","0","1","0","0","0","0","0","0","0"
"79 ? 78","33","","5.119553041978771","79.0","78.0","5.119553041978771","1","0","1","0","0","0","0","0","0","0"
"35 ? 33","34","","3.763752998332495","35.0","33.0","3.763752998332495","1","0","1","0","0","0","0","0","0","0"
"36 ? 35","35","","1.8397970092959997","36.0","35.0","1.8397970092959997","1","0","1","0","0","0","0","0","0","0"
"37 ? 36","36","","0.9912641756883135","37.0","36.0","0.9912641756883135","1","0","1","0","0","0","0","0","0","0"
"38 ? 37","37","","1.5690549303852368","38.0","37.0","1.5690549303852368","1","0","1","0","0","0","0","0","0","0"
"39 ? 38","38","","2.6124987149810757","39.0","38.0","2.6124987149810757","1","0","1","0","0","0","0","0","0","0"
"40 ? 39","39","","0.8924326351791358","40.0","39.0","0.8924326351791358","1","0","1","0","0","0","0","0","0","0"
"41 ? 40","40","","4.225076750202459","41.0","40.0","4.225076750202459","1","0","1","0","0","0","0","0","0","0"
"42 ? 41","41","","2.6018658825599226","42.0","41.0","2.6018658825599226","1","0","1","0","0","0","0","0","0","0"
"43 ? 42","42","","1.0175297591876915","43.0","42.0","1.0175297591876915","1","0","1","0","0","0","0","0","0","0"
"44 ? 43","43","","0.5225032343510039","44.0","43.0","0.5225032343510039","1","0","1","0","0","0","0","0","0","0"
"45 ? 44","44","","1.1056017878918105","45.0","44.0","1.1056017878918105","1","0","1","0","0","0","0","0","0","0"
"46 ? 45","45","","0.0","46.0","45.0","0.0","1","0","1","0","0","0","0","0","0","0"
"47 ? 46","46","","4.537278171118154","47.0","46.0","4.537278171118154","1","0","1","0","0","0","0","0","0","0"
"48 ? 47","47","","2.580889211445424","48.0","47.0","2.580889211445424","1","0","1","0","0","0","0","0","0","0"
"49 ? 48","48","","2.1212881574837423","49.0","48.0","2.1212881574837423","1","0","1","0","0","0","0","0","0","0"
"50 ? 49","49","","3.838084392281527","50.0","49.0","3.838084392281527","1","0","1","0","0","0","0","0","0","0"
"51 ? 50","50","","3.0198000422894267","51.0","50.0","3.0198000422894267","1","0","1","0","0","0","0","0","0","0"
"52 ? 51","51","","6.638499217329184","52.0","51.0","6.638499217329184","1","0","1","0","0","0","0","0","0","0"
