"Label","ID","Link cost","Link displacement","Link target IDs","Link target IDs","Link velocity","AP","AP","Somite","Somite","Somite","Somite"
"",""," "," ","Target spot id","Source spot id"," ","Anterior","Posterior","1","2","3","0"
"","","","(micron)","","","(micron/frame)","","","","","",""
"1 ? 0","0","","3.6164207999931604","1.0","0.0","3.6164207999931604","1","0","0","0","1","0"
"2 ? 1","1","","0.0","2.0","1.0","0.0","1","0","0","0","1","0"
"3 ? 2","2","","2.370430996348843","3.0","2.0","2.370430996348843","1","0","0","0","1","0"
"4 ? 3","3","","0.44266401872215716","4.0","3.0","0.44266401872215716","1","0","0","0","1","0"
"5 ? 4","4","","0.31301072942570307","5.0","4.0","0.31301072942570307","1","0","0","0","1","0"
"6 ? 5","5","","1.4543900518204804","6.0","5.0","1.4543900518204804","1","0","0","0","1","0"
"7 ? 6","6","","0.6999132686826837","7.0","6.0","0.6999132686826837","1","0","0","0","1","0"
"8 ? 7","7","","1.7855894009390563","8.0","7.0","1.7855894009390563","1","0","0","0","1","0"
"9 ? 8","8","","1.1527575709508406","9.0","8.0","1.1527575709508406","1","0","0","0","1","0"
"10 ? 9","9","","3.5922955596061024","10.0","9.0","3.5922955596061024","1","0","0","0","1","0"
"11 ? 10","10","","2.5489282868640344","11.0","10.0","2.5489282868640344","1","0","0","0","1","0"
"12 ? 11","11","","2.8178456024466754","12.0","11.0","2.8178456024466754","1","0","0","0","1","0"
"13 ? 12","12","0.8763097379502216","0.9361141692925183","13.0","12.0","0.9361141692925183","1","0","0","0","1","0"
"14 ? 13","13","0.7854840757247517","0.8862753949674738","14.0","13.0","0.8862753949674738","1","0","0","0","1","0"
"15 ? 14","14","","2.327797463836298","15.0","14.0","2.327797463836298","1","0","0","0","1","0"
"16 ? 15","15","","1.4853514009737558","16.0","15.0","1.4853514009737558","1","0","0","0","1","0"
"17 ? 16","16","","2.4453680864504768","17.0","16.0","2.4453680864504768","1","0","0","0","1","0"
"18 ? 17","17","","0.7280625417784891","18.0","17.0","0.7280625417784891","1","0","0","0","1","0"
"19 ? 18","18","","1.8251505058518374","19.0","18.0","1.8251505058518374","1","0","0","0","1","0"
"20 ? 19","19","","2.444691948052682","20.0","19.0","2.444691948052682","1","0","0","0","1","0"
"21 ? 20","20","5.071251943223023","2.251944036432305","21.0","20.0","2.251944036432305","1","0","0","0","1","0"
"22 ? 21","21","0.33963576707691556","0.5827827786379034","22.0","21.0","0.5827827786379034","1","0","0","0","1","0"
"23 ? 22","22","5.844482218791603","2.417536394512315","23.0","22.0","2.417536394512315","1","0","0","0","1","0"
"24 ? 23","23","2.2806193390332776","1.5101719567762069","24.0","23.0","1.5101719567762069","1","0","0","0","1","0"
"25 ? 24","24","3.4388568038074303","1.8544154884511266","25.0","24.0","1.8544154884511266","1","0","0","0","1","0"
"26 ? 25","25","","3.22301052892477","26.0","25.0","3.22301052892477","1","0","0","0","1","0"
"27 ? 26","26","","4.072549448278681","27.0","26.0","4.072549448278681","1","0","0","0","1","0"
"28 ? 27","27","","2.559457554115815","28.0","27.0","2.559457554115815","1","0","0","0","1","0"
"29 ? 28","28","12.603829093959003","3.5501871913969554","29.0","28.0","3.5501871913969554","1","0","0","0","1","0"
"30 ? 29","29","2.3065445376402236","1.5187312262675787","30.0","29.0","1.5187312262675787","1","0","0","0","1","0"
"31 ? 30","30","1.2624098705441111","1.1235701449149096","31.0","30.0","1.1235701449149096","1","0","0","0","1","0"
"32 ? 31","31","1.2886350750514999","1.1351806354283445","32.0","31.0","1.1351806354283445","1","0","0","0","1","0"
"33 ? 32","32","1.3975994177604447","1.1822010902382236","33.0","32.0","1.1822010902382236","1","0","0","0","1","0"
"34 ? 33","33","","0.72806254177847","34.0","33.0","0.72806254177847","1","0","0","0","1","0"
"35 ? 34","34","4.06095765551503","2.0151817921753437","35.0","34.0","2.0151817921753437","1","0","0","0","1","0"
"36 ? 35","35","2.470538580629097","1.5717947005347412","36.0","35.0","1.5717947005347412","1","0","0","0","1","0"
"37 ? 36","36","1.4803202163678812","1.2166841070581473","37.0","36.0","1.2166841070581473","1","0","0","0","1","0"
"38 ? 37","37","3.7216313389795017","1.9291530107742885","38.0","37.0","1.9291530107742885","1","0","0","0","1","0"
"39 ? 38","38","1.8684321480272603","1.3669060494515561","39.0","38.0","1.3669060494515561","1","0","0","0","1","0"
"40 ? 39","39","1.1288839858279052","1.0624895226908853","40.0","39.0","1.0624895226908853","1","0","0","0","1","0"
"41 ? 40","40","1.1355635612163015","1.0656282471933172","41.0","40.0","1.0656282471933172","1","0","0","0","1","0"
"42 ? 41","41","1.4790053543824677","1.2161436405221497","42.0","41.0","1.2161436405221497","1","0","0","0","1","0"
"43 ? 42","42","","1.2398458322503403","43.0","42.0","1.2398458322503403","1","0","0","0","1","0"
"44 ? 43","43","2.592839161962603","1.6102295370420339","44.0","43.0","1.6102295370420339","1","0","0","0","1","0"
"45 ? 44","44","0.2739174820441057","0.5233712659710177","45.0","44.0","0.5233712659710177","1","0","0","0","1","0"
"46 ? 45","45","2.2208187929212313","1.4902411861578753","46.0","45.0","1.4902411861578753","1","0","0","0","1","0"
"47 ? 46","46","","1.0296359208390296","47.0","46.0","1.0296359208390296","1","0","0","0","1","0"
"48 ? 47","47","4.120990391027929","2.030022263677896","48.0","47.0","2.030022263677896","1","0","0","0","1","0"
"49 ? 48","48","4.5142811896579","2.124683785803878","49.0","48.0","2.124683785803878","1","0","0","0","1","0"
"50 ? 49","49","","2.213320093610924","50.0","49.0","2.213320093610924","1","0","0","0","1","0"
"51 ? 50","50","","2.761727280099758","51.0","50.0","2.761727280099758","1","0","0","0","1","0"
"52 ? 51","51","","4.163555382451528","52.0","51.0","4.163555382451528","1","0","0","0","1","0"
"53 ? 52","52","","1.217447684931193","53.0","52.0","1.217447684931193","1","0","0","0","1","0"
"54 ? 53","53","9.925455026339227","3.1504690168829192","54.0","53.0","3.1504690168829192","1","0","0","0","1","0"
"55 ? 54","54","2.2712549754940676","1.507068338030518","55.0","54.0","1.507068338030518","1","0","0","0","1","0"
"56 ? 55","55","2.504280912487739","1.582491994446651","56.0","55.0","1.582491994446651","1","0","0","0","1","0"
"57 ? 56","56","","6.856053017560814","57.0","56.0","6.856053017560814","1","0","0","0","1","0"
"58 ? 57","57","6.191937639538434","2.488360431999037","58.0","57.0","2.488360431999037","1","0","0","0","1","0"
"59 ? 58","58","","5.9484284971932295","59.0","58.0","5.9484284971932295","1","0","0","0","1","0"
"60 ? 59","59","","3.9718841609480053","60.0","59.0","3.9718841609480053","1","0","0","0","1","0"
"61 ? 60","60","","1.3998265373655208","61.0","60.0","1.3998265373655208","1","0","0","0","1","0"
"62 ? 61","61","","4.896470753643756","62.0","61.0","4.896470753643756","1","0","0","0","1","0"
"63 ? 62","62","","4.029447467356692","63.0","62.0","4.029447467356692","1","0","0","0","1","0"
"64 ? 63","63","7.628692883711128","2.7620088493180335","64.0","63.0","2.7620088493180335","1","0","0","0","1","0"
"65 ? 64","64","","4.900504839798558","65.0","64.0","4.900504839798558","1","0","0","0","1","0"
"66 ? 65","65","","1.0296359208389365","66.0","65.0","1.0296359208389365","1","0","0","0","1","0"
"67 ? 66","66","","5.603762133979948","67.0","66.0","5.603762133979948","1","0","0","0","1","0"
"68 ? 67","67","","5.074116774215611","68.0","67.0","5.074116774215611","1","0","0","0","1","0"
"69 ? 68","68","","4.117013358645406","69.0","68.0","4.117013358645406","1","0","0","0","1","0"
"70 ? 69","69","","2.922362526247856","70.0","69.0","2.922362526247856","1","0","0","0","1","0"
"71 ? 70","70","","6.9287878593920675","71.0","70.0","6.9287878593920675","1","0","0","0","1","0"
"72 ? 71","71","","5.042890541950124","72.0","71.0","5.042890541950124","1","0","0","0","1","0"
"73 ? 72","72","","5.330380648071335","73.0","72.0","5.330380648071335","1","0","0","0","1","0"
"74 ? 73","73","","5.8968571499573645","74.0","73.0","5.8968571499573645","1","0","0","0","1","0"
"75 ? 74","74","","4.081160600252961","75.0","74.0","4.081160600252961","1","0","0","0","1","0"
"76 ? 75","75","11.047322478730962","3.3237512660743675","76.0","75.0","3.3237512660743675","1","0","0","0","1","0"
"77 ? 76","76","33.51605395914753","5.789305136123637","77.0","76.0","5.789305136123637","1","0","0","0","1","0"
"78 ? 77","77","","2.268390871166537","78.0","77.0","2.268390871166537","1","0","0","0","1","0"
"79 ? 78","78","","5.175336169060156","79.0","78.0","5.175336169060156","1","0","0","0","1","0"
"80 ? 79","79","","4.657664695598841","80.0","79.0","4.657664695598841","1","0","0","0","1","0"
"81 ? 80","80","","6.681038286224388","81.0","80.0","6.681038286224388","1","0","0","0","1","0"
"82 ? 81","81","","7.092248514715993","82.0","81.0","7.092248514715993","1","0","0","0","1","0"
"83 ? 82","82","","4.344051530508124","83.0","82.0","4.344051530508124","1","0","0","0","1","0"
"84 ? 83","83","","5.853382059101869","84.0","83.0","5.853382059101869","1","0","0","0","1","0"
"85 ? 84","84","","7.46647057334152","85.0","84.0","7.46647057334152","1","0","0","0","1","0"
"86 ? 85","85","","6.582283105616338","86.0","85.0","6.582283105616338","1","0","0","0","1","0"
"87 ? 86","86","","4.784442074882249","87.0","86.0","4.784442074882249","1","0","0","0","1","0"
"88 ? 87","87","","2.4197951237140067","88.0","87.0","2.4197951237140067","1","0","0","0","1","0"
"89 ? 88","88","","6.577016468569253","89.0","88.0","6.577016468569253","1","0","0","0","1","0"
"90 ? 89","89","","3.648004566461975","90.0","89.0","3.648004566461975","1","0","0","0","1","0"
"91 ? 90","90","","3.0682526469104983","91.0","90.0","3.0682526469104983","1","0","0","0","1","0"
"92 ? 91","91","","4.154266465566757","92.0","91.0","4.154266465566757","1","0","0","0","1","0"
"93 ? 92","92","","3.0830012347684574","93.0","92.0","3.0830012347684574","1","0","0","0","1","0"
"94 ? 93","93","","5.221233318073841","94.0","93.0","5.221233318073841","1","0","0","0","1","0"
"95 ? 94","94","","3.0827981645504665","95.0","94.0","3.0827981645504665","1","0","0","0","1","0"
"96 ? 95","95","","0.0","96.0","95.0","0.0","1","0","0","0","1","0"
"97 ? 96","96","","4.780177936684762","97.0","96.0","4.780177936684762","1","0","0","0","1","0"
"98 ? 97","97","","3.56887141483587","98.0","97.0","3.56887141483587","1","0","0","0","1","0"
"99 ? 98","98","","3.39133687210946","99.0","98.0","3.39133687210946","1","0","0","0","1","0"
"100 ? 99","99","","7.516419226352006","100.0","99.0","7.516419226352006","1","0","0","0","1","0"
"101 ? 100","100","","5.248235545221054","101.0","100.0","5.248235545221054","1","0","0","0","1","0"
"102 ? 101","101","","4.386599791892877","102.0","101.0","4.386599791892877","1","0","0","0","1","0"
"103 ? 102","102","","3.2313939041470565","103.0","102.0","3.2313939041470565","1","0","0","0","1","0"
"104 ? 103","103","","3.130107294257442","104.0","103.0","3.130107294257442","1","0","0","0","1","0"
"105 ? 104","104","","1.447582211200183","105.0","104.0","1.447582211200183","1","0","0","0","1","0"
"106 ? 105","105","","2.8170965648316133","106.0","105.0","2.8170965648316133","1","0","0","0","1","0"
"107 ? 106","106","","2.9647127290988275","107.0","106.0","2.9647127290988275","1","0","0","0","1","0"
"108 ? 107","107","","5.129350195147361","108.0","107.0","5.129350195147361","1","0","0","0","1","0"
"109 ? 108","108","","5.35944066315945","109.0","108.0","5.35944066315945","1","0","0","0","1","0"
"110 ? 109","109","","4.398606581980649","110.0","109.0","4.398606581980649","1","0","0","0","1","0"
"111 ? 110","110","","3.147362279152369","111.0","110.0","3.147362279152369","1","0","0","0","1","0"
"112 ? 111","111","","3.8003096649849173","112.0","111.0","3.8003096649849173","1","0","0","0","1","0"
"113 ? 112","112","","5.31464562471535","113.0","112.0","5.31464562471535","1","0","0","0","1","0"
"114 ? 113","113","","2.1327812425890116","114.0","113.0","2.1327812425890116","1","0","0","0","1","0"
"115 ? 114","114","","3.6814474963126456","115.0","114.0","3.6814474963126456","1","0","0","0","1","0"
"116 ? 115","115","","3.7896968362870482","116.0","115.0","3.7896968362870482","1","0","0","0","1","0"
"117 ? 116","116","","2.25715246942964","117.0","116.0","2.25715246942964","1","0","0","0","1","0"
"118 ? 117","117","","5.028377530390969","118.0","117.0","5.028377530390969","1","0","0","0","1","0"
"119 ? 118","118","","3.3273496947460477","119.0","118.0","3.3273496947460477","1","0","0","0","1","0"
"120 ? 119","119","","2.3778998906654256","120.0","119.0","2.3778998906654256","1","0","0","0","1","0"
"121 ? 120","120","","5.374857303071374","121.0","120.0","5.374857303071374","1","0","0","0","1","0"
"122 ? 121","121","","2.727133857657473","122.0","121.0","2.727133857657473","1","0","0","0","1","0"
"123 ? 122","122","7.0275591431993165","2.6509543834625515","123.0","122.0","2.6509543834625515","1","0","0","0","1","0"
"124 ? 123","123","","4.3530024411296795","124.0","123.0","4.3530024411296795","1","0","0","0","1","0"
"125 ? 124","124","","3.2559946705758738","125.0","124.0","3.2559946705758738","1","0","0","0","1","0"
"126 ? 125","125","","1.3424809943232539","126.0","125.0","1.3424809943232539","1","0","0","0","1","0"
"127 ? 126","126","","3.339111956789905","127.0","126.0","3.339111956789905","1","0","0","0","1","0"
"128 ? 127","127","","1.998167230453065","128.0","127.0","1.998167230453065","1","0","0","0","1","0"
"129 ? 128","128","","4.949134185280045","129.0","128.0","4.949134185280045","1","0","0","0","1","0"
"130 ? 129","129","","3.257137773224295","130.0","129.0","3.257137773224295","1","0","0","0","1","0"
"131 ? 130","130","","3.976371056455249","131.0","130.0","3.976371056455249","1","0","0","0","1","0"
"132 ? 131","131","","3.6662495003292737","132.0","131.0","3.6662495003292737","1","0","0","0","1","0"
"133 ? 132","132","","5.02128885276192","133.0","132.0","5.02128885276192","1","0","0","0","1","0"
"134 ? 133","133","","5.1105939542670455","134.0","133.0","5.1105939542670455","1","0","0","0","1","0"
"135 ? 134","134","","2.8319745434497445","135.0","134.0","2.8319745434497445","1","0","0","0","1","0"
"136 ? 135","135","","1.8562025538221538","136.0","135.0","1.8562025538221538","1","0","0","0","1","0"
"137 ? 136","136","","4.076193560187519","137.0","136.0","4.076193560187519","1","0","0","0","1","0"
"138 ? 137","137","","7.924798699496483","138.0","137.0","7.924798699496483","1","0","0","0","1","0"
"138 ? 139","138","","7.204160702944614","138.0","139.0","7.204160702944614","0","0","0","0","0","0"
"140 ? 138","139","","7.31116710402229","140.0","138.0","7.31116710402229","1","0","0","0","1","0"
"141 ? 140","140","","1.8420499580202498","141.0","140.0","1.8420499580202498","1","0","0","0","1","0"
"142 ? 141","141","","4.196959748904396","142.0","141.0","4.196959748904396","1","0","0","0","1","0"
"143 ? 142","142","","2.973172793766601","143.0","142.0","2.973172793766601","1","0","0","0","1","0"
"146 ? 143","143","","2.7576496726555937","146.0","143.0","2.7576496726555937","1","0","0","0","1","0"
"145 ? 144","144","","6.252642471223485","145.0","144.0","6.252642471223485","0","0","0","0","0","0"
"147 ? 146","145","","1.5960478173057828","147.0","146.0","1.5960478173057828","1","0","0","0","1","0"
"148 ? 147","146","","4.325696450903056","148.0","147.0","4.325696450903056","1","0","0","0","1","0"
"149 ? 148","147","","4.481631614803365","149.0","148.0","4.481631614803365","1","0","0","0","1","0"
"150 ? 149","148","","6.131434160636143","150.0","149.0","6.131434160636143","1","0","0","0","1","0"
"151 ? 150","149","","2.635709373789122","151.0","150.0","2.635709373789122","1","0","0","0","1","0"
"152 ? 151","150","","3.2679279557824086","152.0","151.0","3.2679279557824086","1","0","0","0","1","0"
"153 ? 152","151","","5.13375766879244","153.0","152.0","5.13375766879244","1","0","0","0","1","0"
"154 ? 153","152","","2.9806927619668686","154.0","153.0","2.9806927619668686","1","0","0","0","1","0"
"155 ? 154","153","","6.362940849037447","155.0","154.0","6.362940849037447","1","0","0","0","1","0"
"156 ? 155","154","","3.6009058427707514","156.0","155.0","3.6009058427707514","1","0","0","0","1","0"
"158 ? 157","155","","2.6321990254759977","158.0","157.0","2.6321990254759977","1","0","0","0","1","0"
"159 ? 158","156","2.2020353561766215","1.4839256572270128","159.0","158.0","1.4839256572270128","1","0","0","0","1","0"
"160 ? 159","157","23.18447972160678","4.815026450769174","160.0","159.0","4.815026450769174","1","0","0","0","1","0"
"161 ? 160","158","","0.867315770542816","161.0","160.0","0.867315770542816","1","0","0","0","1","0"
"162 ? 161","159","","2.7785829018362023","162.0","161.0","2.7785829018362023","1","0","0","0","1","0"
"163 ? 162","160","","0.6782230786985715","163.0","162.0","0.6782230786985715","1","0","0","0","1","0"
"164 ? 163","161","","0.0","164.0","163.0","0.0","1","0","0","0","1","0"
"165 ? 164","162","","1.6396902119115286","165.0","164.0","1.6396902119115286","1","0","0","0","1","0"
"166 ? 165","163","","1.3998265373654124","166.0","165.0","1.3998265373654124","1","0","0","0","1","0"
"167 ? 166","164","","2.469427352048766","167.0","166.0","2.469427352048766","1","0","0","0","1","0"
"168 ? 167","165","","1.924222363357687","168.0","167.0","1.924222363357687","1","0","0","0","1","0"
"169 ? 168","166","","1.8002394479530492","169.0","168.0","1.8002394479530492","1","0","0","0","1","0"
"170 ? 169","167","","1.2174476849311675","170.0","169.0","1.2174476849311675","1","0","0","0","1","0"
"171 ? 170","168","1.8012222521720682","1.342096215690987","171.0","170.0","1.342096215690987","1","0","0","0","1","0"
"172 ? 171","169","","2.2360338256489722","172.0","171.0","2.2360338256489722","1","0","0","0","1","0"
"173 ? 172","170","","1.9382558323363859","173.0","172.0","1.9382558323363859","1","0","0","0","1","0"
"174 ? 173","171","0.5701632583952783","0.7550915562998161","174.0","173.0","0.7550915562998161","1","0","0","0","1","0"
"175 ? 174","172","","1.2520429177029695","175.0","174.0","1.2520429177029695","1","0","0","0","1","0"
"176 ? 175","173","3.4001870778498198","1.8439596193652994","176.0","175.0","1.8439596193652994","1","0","0","0","1","0"
"177 ? 176","174","","1.8251505058519384","177.0","176.0","1.8251505058519384","1","0","0","0","1","0"
"178 ? 177","175","","1.2570746904646042","178.0","177.0","1.2570746904646042","1","0","0","0","1","0"
"179 ? 178","176","","0.6260214588514367","179.0","178.0","0.6260214588514367","1","0","0","0","1","0"
"180 ? 179","177","4.791221400430207","2.188885881088872","180.0","179.0","2.188885881088872","1","0","0","0","1","0"
"181 ? 180","178","","0.0","181.0","180.0","0.0","1","0","0","0","1","0"
"182 ? 181","179","","1.9039699365322382","182.0","181.0","1.9039699365322382","1","0","0","0","1","0"
"183 ? 182","180","3.7012818137121544","1.9238715689234962","183.0","182.0","1.9238715689234962","1","0","0","0","1","0"
"184 ? 183","181","","2.9694805111680163","184.0","183.0","2.9694805111680163","1","0","0","0","1","0"
"185 ? 184","182","2.923277291431425","1.7097594250161117","185.0","184.0","1.7097594250161117","1","0","0","0","1","0"
"186 ? 185","183","","1.9455653514162417","186.0","185.0","1.9455653514162417","1","0","0","0","1","0"
"187 ? 186","184","2.6221487296771304","1.6193050144049856","187.0","186.0","1.6193050144049856","1","0","0","0","1","0"
"188 ? 187","185","","1.399826537365482","188.0","187.0","1.399826537365482","1","0","0","0","1","0"
