"Label","ID","Link cost","Link displacement","Link target IDs","Link target IDs","Link velocity","AP","AP","Somite","Somite"
"",""," "," ","Target spot id","Source spot id"," ","Anterior","Posterior","16","17"
"","","","(micron)","","","(micron/frame)","","","",""
"1 ? 0","0","","1.5813281328077906","0.0","1.0","1.5813281328077906","0","1","1","0"
"2 ? 1","1","","0.8369633819242954","1.0","2.0","0.8369633819242954","0","1","1","0"
"3 ? 2","2","","0.8369633819241771","2.0","3.0","0.8369633819241771","0","1","1","0"
"4 ? 3","3","","0.0","3.0","4.0","0.0","0","1","1","0"
"5 ? 4","4","","1.2823152347401376","4.0","5.0","1.2823152347401376","0","1","1","0"
"6 ? 5","5","","0.0","5.0","6.0","0.0","0","1","1","0"
"7 ? 6","6","","0.6682509934195441","6.0","7.0","0.6682509934195441","0","1","1","0"
"8 ? 7","7","","2.082200937214604","7.0","8.0","2.082200937214604","0","1","1","0"
"9 ? 8","8","","1.2987562127297507","8.0","9.0","1.2987562127297507","0","1","1","0"
"10 ? 9","9","","1.2956167840113004","9.0","10.0","1.2956167840113004","0","1","1","0"
"11 ? 10","10","","0.4734579863707923","10.0","11.0","0.4734579863707923","0","1","1","0"
"12 ? 11","11","","2.298013439708953","11.0","12.0","2.298013439708953","0","1","1","0"
"13 ? 12","12","","1.9133927373171196","12.0","13.0","1.9133927373171196","0","1","1","0"
"14 ? 13","13","","0.5545888318002522","13.0","14.0","0.5545888318002522","0","1","1","0"
"15 ? 14","14","","1.0043560583091231","14.0","15.0","1.0043560583091231","0","1","1","0"
"16 ? 15","15","","0.0","15.0","16.0","0.0","0","1","1","0"
"17 ? 16","16","","1.4665624670839787","16.0","17.0","1.4665624670839787","0","1","1","0"
"18 ? 17","17","","1.793209211028305","17.0","18.0","1.793209211028305","0","1","1","0"
"19 ? 18","18","","0.5861927269231864","18.0","19.0","0.5861927269231864","0","1","1","0"
"20 ? 19","19","","0.5550235383039128","19.0","20.0","0.5550235383039128","0","1","1","0"
"21 ? 20","20","","1.1844229989204258","20.0","21.0","1.1844229989204258","0","1","1","0"
"22 ? 21","21","","0.5021780291544754","21.0","22.0","0.5021780291544754","0","1","1","0"
"23 ? 22","22","","1.0676095543869795","22.0","23.0","1.0676095543869795","0","1","1","0"
"24 ? 23","23","","0.7054371555402581","23.0","24.0","0.7054371555402581","0","1","1","0"
"25 ? 24","24","","1.1318245385849284","24.0","25.0","1.1318245385849284","0","1","1","0"
"26 ? 25","25","","1.874822020810749","25.0","26.0","1.874822020810749","0","1","1","0"
"27 ? 26","26","","1.370710674375822","26.0","27.0","1.370710674375822","0","1","1","0"
"28 ? 27","27","","0.5021780291544556","27.0","28.0","0.5021780291544556","0","1","1","0"
"29 ? 28","28","","0.6967698765147448","28.0","29.0","0.6967698765147448","0","1","1","0"
"30 ? 29","29","","1.6486266667764307","29.0","30.0","1.6486266667764307","0","1","1","0"
"31 ? 30","30","","0.26943354548905707","30.0","31.0","0.26943354548905707","0","1","1","0"
"32 ? 31","31","","2.0885308657844277","31.0","32.0","2.0885308657844277","0","1","1","0"
"33 ? 32","32","","0.7101869795561975","32.0","33.0","0.7101869795561975","0","1","1","0"
"34 ? 33","33","","1.0182098997600506","33.0","34.0","1.0182098997600506","0","1","1","0"
"35 ? 34","34","","0.5293421210076081","34.0","35.0","0.5293421210076081","0","1","1","0"
"36 ? 35","35","","0.5599850800666692","35.0","36.0","0.5599850800666692","0","1","1","0"
"37 ? 36","36","","1.2070857556854124","36.0","37.0","1.2070857556854124","0","1","1","0"
"38 ? 37","37","","0.7486028066643194","37.0","38.0","0.7486028066643194","0","1","1","0"
"39 ? 38","38","","2.130538273549068","38.0","39.0","2.130538273549068","0","1","1","0"
"40 ? 39","39","","1.3803553713790009","39.0","40.0","1.3803553713790009","0","1","1","0"
"41 ? 40","40","","0.0","40.0","41.0","0.0","0","1","1","0"
"42 ? 41","41","","1.588026363022675","41.0","42.0","1.588026363022675","0","1","1","0"
"43 ? 42","42","","0.7405628827628484","42.0","43.0","0.7405628827628484","0","1","1","0"
"44 ? 43","43","","0.6675893713084629","43.0","44.0","0.6675893713084629","0","1","1","0"
"45 ? 44","44","","1.7761195037643698","44.0","45.0","1.7761195037643698","0","1","1","0"
"46 ? 45","45","","1.5767744958006518","45.0","46.0","1.5767744958006518","0","1","1","0"
"47 ? 46","46","","1.2304378336082258","46.0","47.0","1.2304378336082258","0","1","1","0"
"48 ? 47","47","","1.8298789798888002","47.0","48.0","1.8298789798888002","0","1","1","0"
"49 ? 48","48","","2.878666538302936","48.0","49.0","2.878666538302936","0","1","1","0"
"50 ? 49","49","","1.5880263630227311","49.0","50.0","1.5880263630227311","0","1","1","0"
"51 ? 50","50","","1.2748246429302796","50.0","51.0","1.2748246429302796","0","1","1","0"
"52 ? 51","51","","0.3347853527697178","51.0","52.0","0.3347853527697178","0","1","1","0"
"53 ? 52","52","","0.9760586435494374","52.0","53.0","0.9760586435494374","0","1","1","0"
"54 ? 53","53","","1.4663583878758222","53.0","54.0","1.4663583878758222","0","1","1","0"
"55 ? 54","54","","2.421411457142055","54.0","55.0","2.421411457142055","0","1","1","0"
"56 ? 55","55","","2.1551820611269794","55.0","56.0","2.1551820611269794","0","1","1","0"
"57 ? 56","56","","1.2897187925815383","56.0","57.0","1.2897187925815383","0","1","1","0"
"58 ? 57","57","","0.5618583479407134","57.0","58.0","0.5618583479407134","0","1","1","0"
