"Label","ID","Detection quality","Spot N links","Spot center intensity","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot quick mean","Spot radius","Spot track ID","Track N spots","AP","AP","Somite","Somite"
"",""," "," ","Center ch1","Center ch2"," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","Mean ch2","Std ch2","Min ch2","Max ch2","Median ch2","Sum ch2","X","Y","Z","Mean ch1","Mean ch2"," "," "," ","Anterior","Posterior","16","17"
"","","","","(Counts)","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(Counts)","(Counts)","(micron)","","","","","",""
"0","0","","1","196.68512184699685","9139.78218650796","130","191.36697247706422","24.378938954200436","133.0","189.0","188.0","229449.0","8364.58798999166","1620.867808040222","4612.0","10099.0","8342.0","1.0029141E7","305.9219552370118","601.7242826867557","133.81148328039936","177.0","6680.833333333333","3.676011030057441","0","132","0","1","1","0"
"1","1","","2","195.97234573969914","9593.963167614012","129","190.25020374898125","23.26705355118174","125.0","179.0","189.0","233437.0","8624.088019559902","1943.6608302157756","4585.0","7072.0","8778.0","1.0581756E7","304.9440653785968","600.9000546619293","134.7415253501517","177.0","6883.6","3.676011030057441","0","132","0","1","1","0"
"2","2","","2","193.62860300518577","9333.497879753884","128","188.12163265306123","24.21328965723321","129.0","178.0","186.0","230449.0","8378.64","1867.417668482895","4315.0","7094.0","8444.0","1.0263834E7","305.0818331041145","600.0783151732028","134.66232958539538","179.0","6700.5","3.676011030057441","0","132","0","1","1","0"
"3","3","","2","189.65409392797042","9226.570151856611","127","185.8263422818792","23.348724434229446","125.0","175.0","184.0","221505.0","8432.041946308726","1639.596549845692","4508.0","7109.0","8580.0","1.0050994E7","305.2196008296321","599.2565756844764","134.58313382063903","172.16666666666666","6273.166666666667","3.676011030057441","0","132","0","1","1","0"
"4","4","","2","185.13846704326025","8696.701182608871","126","182.02805280528054","21.3578887199459","123.0","174.0","181.0","220618.0","8020.306930693069","1748.1442839501717","4285.0","6997.0","8166.0","9720612.0","305.2196008296321","599.2565756844764","134.58313382063903","173.8","6441.0","3.676011030057441","0","132","0","1","1","0"
"5","5","","2","182.06231653407735","8570.237116876357","125","179.6394389438944","21.079837910289964","125.0","177.0","178.0","217723.0","7721.858085808581","1662.2179519826147","4026.0","6997.0","7693.0","9358892.0","305.45866970222653","598.794864238752","133.4109559432287","168.57142857142858","5764.571428571428","3.676011030057441","0","132","0","1","1","0"
"6","6","","2","182.46080435591625","8192.740916266914","124","179.21753246753246","20.474265142923468","121.0","195.0","178.0","220796.0","7368.586038961039","1686.6706251155967","3837.0","11197.0","7325.0","9078098.0","305.45866970222653","598.794864238752","133.4109559432287","171.4","5579.4","3.676011030057441","0","132","0","1","1","0"
"7","7","","2","172.85113505209227","7175.102540519885","123","171.97978096040438","19.535359793088134","111.0","195.0","171.0","204140.0","6618.333614153327","1379.7207295837693","3669.0","10840.0","6628.0","7855962.0","305.62593988825813","598.5948520561376","134.02624059432688","166.16666666666666","5556.666666666667","3.676011030057441","0","132","0","1","1","0"
"8","8","","2","173.51553276238826","7218.742227780609","122","171.78733766233765","18.314392259208425","119.0","196.0","170.0","211642.0","6720.351461038961","1439.4968513570673","3633.0","11126.0","6676.0","8279473.0","304.93354756388976","596.6724221356284","134.4267612714761","171.5","5564.75","3.676011030057441","0","132","0","1","1","0"
"9","9","","2","173.46332045022538","7711.622026515948","121","171.77079934747144","19.699882826060723","106.0","193.0","171.0","210591.0","7086.526101141925","1577.0887536436214","4115.0","10317.0","6938.0","8688081.0","305.229733047707","595.4999318876216","133.95314911199412","169.4","5600.8","3.676011030057441","0","132","0","1","1","0"
"10","10","","2","168.7317570277733","6228.854132947938","120","168.20529801324503","18.0017739642444","115.0","188.0","168.0","203192.0","5999.105960264901","1238.3477093464705","3683.0","7593.0","5830.0","7246920.0","305.64500901797277","594.6217070343066","133.09589195888813","167.6","5088.6","3.676011030057441","0","132","0","1","1","0"
