Distance_(pixels),Gray_Value
0,195.720
1,190.689
2,186.507
3,190.744
4,195.476
5,191.931
6,191.768
7,198.107
8,203.082
9,205.545
10,205.426
11,208.525
12,209.875
13,212.633
14,236.224
15,259.024
16,270.970
17,284.805
18,320.854
19,337.442
20,336.871
21,346.475
22,410.983
23,474.883
24,468.816
25,412.761
26,375.668
27,389.094
28,397.894
29,404.398
30,404.328
31,451.458
32,547.799
33,591.486
34,515.939
35,463.391
36,523.220
37,615.111
38,630.279
39,641.991
40,615.067
41,565.871
42,554.485
43,581.128
44,640.800
45,679.915
46,679.447
47,681.575
48,704.080
49,785.991
50,892.381
51,927.168
52,830.292
53,779.670
54,832.440
55,856.386
56,837.750
57,814.942
58,804.317
59,820.109
60,829.132
61,869.047
62,892.939
63,916.295
64,898.077
65,891.845
66,920.783
67,992.573
68,1013.927
69,966.302
70,884.383
71,873.956
72,997.500
73,1109.978
74,1089.061
75,985.741
76,925.635
77,907.681
78,937.476
79,966.779
80,1032.205
81,1116.389
82,1091.181
83,990.521
84,980.698
85,1071.858
86,1099.877
87,1019.240
88,1023.006
89,1103.345
90,1076.757
91,950.138
92,884.277
93,816.668
94,737.959
95,674.908
96,608.532
97,557.245
98,518.831
99,511.966
100,487.690
101,420.615
102,352.742
103,323.505
104,307.357
105,290.902
106,275.447
107,265.926
108,258.898
109,254.272
110,252.328
111,245.076
112,235.920
113,229.064
114,225.893
115,226.790
116,226.796
117,223.776
118,221.101
119,220.005
120,214.347
121,212.647
122,213.724
123,214.280
124,212.936
125,206.609
126,202.161
127,201.496
128,201.113
129,199.538
130,199.397
