Distance_(pixels),Tbx6
0,184.708
1,186.421
2,188.125
3,187.363
4,190.954
5,202.029
6,211.475
7,211.488
8,211.142
9,213.575
10,212.371
11,208.575
12,208.333
13,211.083
14,210.921
15,218.913
16,240.292
17,255.233
18,257.296
19,288.267
20,377.938
21,437.100
22,410.392
23,369.258
24,344.108
25,329.642
26,340.462
27,368.583
28,428.221
29,467.217
30,461.846
31,497.892
32,561.904
33,580.746
34,544.721
35,496.671
36,527.454
37,636.817
38,666.362
39,666.629
40,697.879
41,667.133
42,719.162
43,851.025
44,861.958
45,809.271
46,811.758
47,826.533
48,819.283
49,809.808
50,820.121
51,943.850
52,1061.296
53,1091.592
54,1115.121
55,1113.604
56,1114.667
57,1128.975
58,1163.583
59,1226.696
60,1235.367
61,1190.142
62,1231.363
63,1310.312
64,1332.183
65,1416.775
66,1606.738
67,1705.117
68,1638.162
69,1527.738
70,1432.821
71,1377.217
72,1382.029
73,1420.475
74,1404.912
75,1396.167
76,1415.196
77,1380.329
78,1396.492
79,1493.196
80,1475.700
81,1307.463
82,1150.387
83,1122.188
84,1135.550
85,1011.217
86,837.804
87,783.658
88,852.200
89,857.013
90,740.608
91,646.683
92,605.888
93,626.521
94,674.879
95,686.504
96,717.537
97,756.217
98,750.438
99,754.062
100,773.229
101,766.783
102,754.775
103,731.088
104,685.546
105,669.938
106,684.771
107,667.404
108,592.025
109,523.200
110,498.858
111,468.758
112,411.658
113,365.158
114,334.788
115,310.258
116,295.017
117,280.458
118,267.737
119,261.917
120,260.092
121,260.871
122,260.725
123,258.487
124,256.421
125,254.379
126,250.596
127,244.692
128,239.208
129,234.913
130,229.729
