Distance_(pixels),ripply1,Tbx6
0,429.789,592.451
1,427.766,605.973
2,423.282,598.782
3,423.139,598.218
4,422.524,593.336
5,424.528,593.487
6,421.876,600.760
7,423.961,601.691
8,422.084,607.214
9,425.802,606.916
10,423.896,611.272
11,419.010,616.160
12,418.864,633.918
13,419.879,646.398
14,425.174,646.212
15,425.970,648.755
16,420.513,652.672
17,430.263,649.127
18,422.056,649.042
19,423.359,650.666
20,431.973,662.674
21,432.678,659.295
22,430.602,654.339
23,433.558,652.936
24,428.152,665.824
25,426.492,696.946
26,429.419,719.885
27,438.241,726.825
28,450.888,739.867
29,439.460,735.273
30,431.054,742.142
31,424.442,766.418
32,423.533,767.892
33,427.806,781.404
34,433.435,790.536
35,432.647,793.346
36,433.432,783.685
37,432.433,762.988
38,432.022,753.969
39,432.340,751.866
40,435.958,743.022
41,435.653,745.177
42,441.599,780.673
43,437.367,824.090
44,434.671,846.253
45,435.824,855.734
46,433.525,900.743
47,439.178,937.087
48,438.893,919.658
49,438.334,895.914
50,441.010,864.655
51,443.942,825.682
52,450.253,807.534
53,455.995,821.477
54,462.586,856.591
55,456.142,855.506
56,450.177,864.491
57,449.597,917.033
58,452.211,985.161
59,456.455,1008.585
60,455.016,993.961
61,447.492,971.827
62,451.166,973.570
63,464.536,967.825
64,475.241,978.686
65,467.200,956.317
66,462.538,968.480
67,462.098,973.178
68,472.527,985.502
69,482.333,994.587
70,474.952,1023.427
71,470.492,1082.797
72,466.229,1121.471
73,459.614,1140.490
74,461.930,1139.988
75,486.060,1122.853
76,466.544,1167.036
77,461.677,1202.080
78,464.957,1158.640
79,456.653,1108.199
80,454.039,1182.001
81,449.514,1279.947
82,451.388,1291.287
83,452.818,1245.527
84,453.208,1192.266
85,449.086,1247.950
86,445.424,1336.918
87,444.343,1381.898
88,450.639,1340.273
89,464.862,1310.611
90,461.329,1347.893
91,437.111,1376.352
92,435.755,1362.781
93,431.009,1288.327
94,429.001,1263.432
95,432.841,1253.220
96,435.647,1207.221
97,435.096,1250.285
98,441.170,1302.783
99,453.823,1380.332
100,462.124,1380.183
101,446.659,1329.347
102,453.031,1294.233
103,444.334,1295.243
104,439.364,1367.605
105,446.839,1443.932
106,455.474,1494.817
107,449.361,1476.495
108,441.543,1449.653
109,439.967,1410.261
110,436.894,1433.704
111,440.621,1553.532
112,438.378,1663.284
113,436.590,1625.427
114,425.160,1542.679
115,430.815,1523.834
116,428.512,1571.838
117,426.341,1541.456
118,422.354,1531.752
119,417.064,1481.213
120,415.747,1444.910
121,428.144,1426.066
122,424.145,1547.900
123,436.038,1693.992
124,447.177,1675.516
125,438.228,1599.345
126,440.779,1448.253
127,437.653,1421.658
128,449.663,1432.772
129,436.204,1447.490
130,423.755,1387.368
131,427.564,1329.724
132,429.421,1325.098
133,433.643,1377.928
134,434.883,1504.552
135,442.357,1533.467
136,441.142,1502.181
137,443.406,1456.467
138,451.359,1523.303
139,450.028,1530.269
140,444.038,1477.471
141,446.439,1448.180
142,454.681,1468.086
143,471.757,1403.692
144,449.821,1365.640
145,451.949,1375.249
146,461.093,1418.238
147,459.796,1483.886
148,470.971,1503.726
149,475.235,1462.795
150,472.462,1378.870
151,477.016,1321.997
152,494.440,1288.898
153,513.460,1257.974
154,561.446,1236.948
155,604.041,1240.829
156,611.464,1254.882
157,661.113,1269.270
158,722.557,1216.528
159,810.837,1177.586
160,900.040,1205.696
161,944.352,1274.687
162,1021.038,1307.496
163,1002.422,1230.265
164,1057.227,1225.108
165,1175.148,1356.167
166,1252.692,1474.735
167,1256.109,1494.544
168,1243.559,1475.678
169,1231.824,1459.131
170,1186.089,1465.311
171,1161.721,1462.175
172,1089.693,1451.567
173,1029.087,1430.931
174,982.956,1378.871
175,924.660,1456.561
176,848.864,1525.015
177,805.911,1534.008
178,759.717,1455.352
179,711.383,1418.102
180,688.148,1490.911
181,696.977,1577.412
182,697.885,1569.714
183,685.815,1462.135
184,688.068,1458.005
185,742.994,1511.082
186,825.830,1554.847
187,885.611,1541.656
188,961.682,1414.880
189,1056.697,1257.486
190,1237.982,1114.697
191,1486.585,1044.764
192,1654.380,1020.888
193,1881.244,997.540
194,2006.175,967.223
195,2095.403,942.837
196,2082.987,927.641
197,2133.050,917.806
198,2244.606,909.633
199,2215.920,889.559
200,2277.597,892.296
201,2391.487,885.106
202,2682.553,885.867
203,2689.557,889.390
204,2754.682,893.468
205,2989.274,931.705
206,3029.176,954.426
207,3045.302,948.213
208,2824.131,926.367
209,2675.923,892.767
210,2485.549,851.925
211,2364.719,831.418
212,2508.401,839.072
213,2722.749,882.120
214,2699.760,882.155
215,2400.927,867.370
216,2198.424,845.941
217,2176.811,846.983
218,2095.514,861.699
219,1976.152,840.097
220,2123.002,822.856
221,2226.141,818.557
222,2206.647,798.134
223,2192.730,797.497
224,2088.369,783.000
225,2154.954,768.820
226,2211.758,777.257
227,2094.728,774.435
228,2025.159,780.116
229,2052.261,771.504
230,2090.272,777.950
231,2087.766,769.651
232,1960.038,777.641
233,1990.282,752.616
234,1960.904,757.811
235,1879.847,760.506
236,1740.112,743.542
237,1613.936,706.197
238,1601.735,687.492
239,1652.134,687.378
240,1676.669,675.333
