Distance_(pixels),ripply1,Tbx6
0,650.175,868.525
1,644.287,863.812
2,640.088,866.575
3,648.912,878.550
4,644.013,874.862
5,649.188,893.725
6,646.312,889.737
7,636.213,872.200
8,639.612,875.550
9,642.050,872.162
10,635.162,880.025
11,636.000,887.013
12,639.525,883.175
13,624.312,879.125
14,624.638,875.963
15,629.862,878.300
16,624.075,874.650
17,614.138,876.162
18,622.188,880.662
19,620.763,895.338
20,621.888,888.400
21,620.475,882.713
22,611.475,903.850
23,605.650,906.963
24,606.487,902.737
25,620.362,912.625
26,614.662,911.963
27,604.412,918.013
28,643.562,916.675
29,626.588,923.825
30,610.138,915.175
31,613.775,935.662
32,614.975,939.688
33,613.000,976.600
34,648.100,996.125
35,615.787,1001.100
36,616.450,1032.325
37,607.662,1062.500
38,613.650,1057.425
39,609.112,1061.350
40,608.737,1056.812
41,615.600,1041.425
42,613.987,1014.338
43,618.200,1030.500
44,626.737,1074.100
45,658.050,1091.950
46,690.300,1088.387
47,632.000,1124.662
48,598.388,1185.975
49,598.463,1198.975
50,612.138,1246.113
51,608.638,1259.238
52,606.125,1301.150
53,603.763,1302.938
54,597.500,1283.200
55,601.500,1220.887
56,600.500,1202.925
57,588.650,1273.162
58,651.800,1306.863
59,605.950,1299.762
60,622.075,1236.213
61,597.425,1189.900
62,600.162,1175.200
63,604.900,1190.637
64,603.862,1181.150
65,607.425,1242.525
66,611.125,1348.225
67,609.525,1415.550
68,618.800,1437.125
69,605.487,1445.387
70,616.275,1374.238
71,618.850,1361.875
72,614.588,1458.725
73,617.312,1584.188
74,636.725,1615.300
75,619.750,1564.863
76,627.662,1546.025
77,619.713,1489.412
78,629.075,1496.188
79,634.312,1619.800
80,632.062,1703.213
81,623.838,1635.688
82,625.062,1659.213
83,634.625,1594.012
84,641.150,1530.113
85,645.412,1609.062
86,638.850,1720.550
87,651.013,1697.838
88,630.800,1656.312
89,637.100,1580.975
90,632.188,1617.150
91,627.225,1754.037
92,630.975,1832.387
93,626.463,1808.387
94,621.838,1724.075
95,633.850,1608.750
96,622.362,1579.275
97,629.750,1514.550
98,627.075,1627.650
99,649.438,1795.637
100,634.062,1745.713
101,624.300,1667.088
102,626.912,1696.562
103,632.850,1692.113
104,628.375,1650.125
105,633.150,1670.825
106,627.325,1707.512
107,639.025,1748.938
108,637.787,1778.050
109,638.300,1683.150
110,640.800,1638.475
111,666.612,1612.162
112,644.800,1617.312
113,654.025,1660.550
114,677.138,1764.938
115,686.463,1782.488
116,725.800,1684.950
117,753.625,1745.637
118,800.850,1772.613
119,824.688,1732.825
120,853.987,1768.400
121,866.263,1703.012
122,907.000,1750.912
123,931.200,1873.088
124,927.188,1851.975
125,952.450,1726.562
126,976.812,1652.175
127,1009.787,1818.825
128,999.737,2012.025
129,999.100,1943.662
130,1021.925,1798.775
131,1008.263,1832.650
132,1033.812,1883.525
133,1081.738,1894.150
134,1055.850,1739.025
135,1090.775,1803.100
136,1053.250,1849.900
137,999.388,1909.050
138,1000.675,1935.188
139,991.362,1934.125
140,1035.025,1867.062
141,986.800,1854.175
142,975.150,1884.925
143,946.237,1925.662
144,927.850,1936.600
145,940.225,1885.850
146,952.650,1731.325
147,917.900,1741.375
148,882.525,1785.613
149,871.700,1939.713
150,847.400,1960.150
151,806.362,1966.175
152,787.875,1845.438
153,770.300,1870.387
154,751.088,2051.700
155,731.938,2074.637
156,712.450,1937.162
157,679.862,1804.688
158,649.350,1694.938
159,638.550,1771.075
160,631.975,1796.875
161,629.388,1800.200
162,642.875,1677.050
163,641.888,1636.250
164,632.463,1696.750
165,639.612,1691.850
166,635.900,1712.713
167,645.275,1739.025
168,644.662,1786.175
169,662.388,1759.137
170,661.650,1650.762
171,665.825,1558.175
172,691.675,1455.363
173,703.287,1464.775
174,734.588,1417.162
175,778.263,1336.375
176,815.300,1245.750
177,874.338,1194.887
178,975.700,1136.912
179,1082.213,1132.025
180,1174.338,1092.300
181,1256.100,1077.412
182,1396.125,1068.625
183,1593.100,1078.825
184,1771.338,1075.375
185,1974.225,1048.425
186,2039.637,1034.113
187,2198.137,1017.275
188,2376.625,1018.900
189,2456.050,1020.338
190,2475.825,1009.750
191,2528.712,1015.688
192,2541.113,1035.088
193,2583.613,1019.350
194,2696.375,1030.575
195,2757.312,1031.900
196,2742.375,1027.150
197,2784.800,1039.375
198,2766.000,1072.900
199,2836.663,1085.412
200,2824.475,1095.275
201,2759.587,1136.425
202,2651.875,1152.562
203,2669.975,1148.400
204,2672.062,1121.925
205,2660.863,1117.137
206,2619.913,1122.838
207,2661.038,1114.488
208,2697.650,1153.512
209,2644.337,1125.588
210,2544.113,1097.800
211,2465.800,1020.688
212,2525.113,976.900
213,2538.050,959.475
214,2514.850,923.550
215,2509.688,912.900
216,2523.038,909.838
217,2607.512,904.125
218,2638.038,903.450
219,2533.650,897.463
220,2543.775,913.213
221,2614.475,923.237
222,2719.625,932.688
223,2883.613,933.362
224,2910.275,940.037
225,2815.012,917.625
226,2839.650,916.562
227,2860.038,908.875
228,2912.438,905.825
229,2843.050,908.838
230,2713.550,896.513
231,2675.150,913.550
232,2481.175,941.650
233,2432.462,938.737
234,2508.275,927.400
235,2520.212,928.938
236,2492.637,914.150
237,2481.975,927.862
238,2474.350,908.713
239,2539.087,902.075
240,2380.113,904.500
